Class,File,BaryX,BaryY,BaryZ,LargeEig,SmallEig
"./ResampledDatabase/AircraftBuoyant",m1337.obj,-0.0971991,0.165601,-0.113653,0.417027,0.173196
"./ResampledDatabase/AircraftBuoyant",m1340.obj,-0.641149,0.210646,-0.637311,0.27465,0.0113617
"./ResampledDatabase/AircraftBuoyant",m1341.obj,-0.62567,0.415148,-0.620508,0.39716,0.0161029
"./ResampledDatabase/AircraftBuoyant",m1343.obj,-0.280739,0.184915,-0.325895,0.117998,0.110437
"./ResampledDatabase/AircraftBuoyant",m1344.obj,-0.281103,0.453171,-0.275418,0.572034,0.0812402
"./ResampledDatabase/AircraftBuoyant",m1346.obj,-0.695676,-0.638018,-0.04333,0.31823,0.0207707
"./ResampledDatabase/AircraftBuoyant",m1348.obj,-0.699773,-0.633435,-0.0205217,0.305117,0.0209716
"./ResampledDatabase/AircraftBuoyant",m1349.obj,-0.0227029,-0.584143,-0.741673,0.258644,0.0150761
"./ResampledDatabase/AircraftBuoyant",m1350.obj,-0.167572,-0.726653,-0.727697,0.301022,0.0213439
"./ResampledDatabase/Apartment",D00045.obj,-0.809223,-0.307341,0.310485,0.000139402,9.52234e-06
"./ResampledDatabase/Apartment",D00086.obj,-0.299329,-0.957513,-0.94439,0.000208154,9.22835e-07
"./ResampledDatabase/Apartment",D00156.obj,-0.708848,0.799201,-0.6682,0.0003172,3.16347e-07
"./ResampledDatabase/Apartment",D00310.obj,-0.979086,0.921498,-0.933755,9.44074e-05,2.95371e-07
"./ResampledDatabase/Apartment",D00366.obj,0.0622237,-0.0758518,-0.243444,0.306416,0.0980261
"./ResampledDatabase/Apartment",D00478.obj,-0.146301,-0.911359,-0.950824,9.90986e-05,4.81587e-07
"./ResampledDatabase/Apartment",D00626.obj,-0.439273,0.813027,-0.736181,6.69853e-05,1.1904e-05
"./ResampledDatabase/Apartment",D00639.obj,-0.90145,-0.700041,-0.940149,0.00056961,4.59132e-06
"./ResampledDatabase/Apartment",D00651.obj,0.374286,-0.0622813,-0.925622,0.000342784,3.75083e-06
"./ResampledDatabase/Apartment",D00681.obj,0.222247,-0.336802,-0.512636,0.0357578,0.0045623
"./ResampledDatabase/Apartment",D00780.obj,-0.818762,-0.893867,0.272626,0.000302343,8.93604e-05
"./ResampledDatabase/Apartment",D00860.obj,0.404557,-0.861324,-0.988342,9.35733e-05,1.87929e-08
"./ResampledDatabase/Apartment",D00869.obj,-0.337709,-0.811657,-0.477193,0.000633648,2.46422e-10
"./ResampledDatabase/Apartment",D00921.obj,-0.758458,-0.988137,-0.965959,7.46736e-05,4.25767e-09
"./ResampledDatabase/Apartment",D00953.obj,0.363776,0.129679,-0.516306,0.00765323,0.00175688
"./ResampledDatabase/Apartment",m464.obj,-0.152407,-0.467242,0.037125,0.105785,0.00425569
"./ResampledDatabase/AquaticAnimal",m53.obj,-0.56656,0.70312,-0.53159,0.0241271,0.000303991
"./ResampledDatabase/AquaticAnimal",m54.obj,-0.661664,-0.683208,0.0865098,0.248937,0.00778815
"./ResampledDatabase/AquaticAnimal",m55.obj,-0.651371,-0.281155,-0.181299,0.148991,0.00222452
"./ResampledDatabase/AquaticAnimal",m56.obj,-0.851971,-0.626443,0.307564,0.292286,0.00319796
"./ResampledDatabase/AquaticAnimal",m57.obj,-0.95267,0.807569,0.208337,0.00304277,3.5965e-05
"./ResampledDatabase/AquaticAnimal",m58.obj,-0.462652,-0.597119,0.0898777,0.270297,0.0440476
"./ResampledDatabase/AquaticAnimal",m59.obj,-0.762257,-0.814081,0.143352,0.339588,0.0048542
"./ResampledDatabase/AquaticAnimal",m60.obj,-0.658347,-0.607252,0.103692,0.312662,0.00934356
"./ResampledDatabase/AquaticAnimal",m61.obj,-0.814422,-0.607024,0.120833,0.362441,0.00897858
"./ResampledDatabase/AquaticAnimal",m62.obj,-0.888897,-0.238916,0.083401,0.190263,0.00199223
"./ResampledDatabase/AquaticAnimal",m63.obj,-0.169576,-0.378067,-0.202476,0.215689,0.0825995
"./ResampledDatabase/AquaticAnimal",m64.obj,-0.013205,-0.47297,-0.837396,0.220041,0.00196053
"./ResampledDatabase/AquaticAnimal",m65.obj,-0.600355,-0.400993,0.270691,0.171049,0.0152645
"./ResampledDatabase/AquaticAnimal",m66.obj,-0.947988,-0.598136,0.303954,0.00375444,0.000132172
"./ResampledDatabase/AquaticAnimal",m67.obj,-0.0045891,-0.769536,-0.651749,0.409365,0.00696764
"./ResampledDatabase/AquaticAnimal",m68.obj,0.109372,-0.747485,-0.825077,0.143607,0.00557435
"./ResampledDatabase/AquaticAnimal",m69.obj,-0.64765,-0.829967,0.196446,0.3546,0.0114322
"./ResampledDatabase/AquaticAnimal",m70.obj,-0.557737,-0.842102,0.00576528,0.38559,0.00715255
"./ResampledDatabase/AquaticAnimal",m71.obj,-0.69759,-0.75341,-0.0472507,0.362307,0.0182944
"./ResampledDatabase/AquaticAnimal",m72.obj,-0.542447,-0.83807,0.018049,0.337997,0.00939057
"./ResampledDatabase/AquaticAnimal",m73.obj,0.196108,-0.557383,-0.636625,0.345931,0.0241818
"./ResampledDatabase/AquaticAnimal",m74.obj,-0.673045,-0.725113,0.0841098,0.431532,0.0115969
"./ResampledDatabase/AquaticAnimal",m75.obj,-0.460521,-0.805277,-0.0357671,0.271539,0.01405
"./ResampledDatabase/AquaticAnimal",m77.obj,-0.175356,-0.725581,-0.203057,0.000611775,8.59724e-05
"./ResampledDatabase/AquaticAnimal",m78.obj,0.0307976,-0.50354,-0.541579,0.363205,0.0192048
"./ResampledDatabase/AquaticAnimal",m79.obj,-0.177525,-0.808269,-0.61539,0.233035,0.00417208
"./ResampledDatabase/AquaticAnimal",m80.obj,-0.0283047,-0.78369,-0.666737,0.297277,0.0151281
"./ResampledDatabase/AquaticAnimal",m81.obj,-0.595309,-0.809515,0.117105,0.381837,0.00842313
"./ResampledDatabase/TruckNonContainer",D00143.obj,-0.0948271,-0.555176,-0.499635,0.334735,0.0745922
"./ResampledDatabase/TruckNonContainer",D00148.obj,-0.641969,-0.405225,-0.707178,0.43879,0.0323136
"./ResampledDatabase/TruckNonContainer",D00215.obj,-0.627611,-0.156866,-0.69958,0.428931,0.0261447
"./ResampledDatabase/TruckNonContainer",D00252.obj,0.0328793,-0.460561,-0.690364,0.330433,0.0403026
"./ResampledDatabase/TruckNonContainer",D00353.obj,0,0,0,0.000671362,-2.26655e-18
"./ResampledDatabase/TruckNonContainer",D00572.obj,-0.699978,-0.33777,-0.783909,0.205554,0.0121617
"./ResampledDatabase/TruckNonContainer",D00731.obj,-0.650969,-0.0844376,-0.701438,0.401181,0.019374
"./ResampledDatabase/TruckNonContainer",D00737.obj,-0.501819,-0.116712,-0.545932,0.253891,0.0493664
"./ResampledDatabase/TruckNonContainer",D00879.obj,0.196305,-0.423649,-0.598504,0.39693,0.0403583
"./ResampledDatabase/Violin",D00108.obj,-0.635115,-0.197191,-0.879511,0.291902,0.00123441
"./ResampledDatabase/Violin",D00216.obj,-0.662193,-0.815343,-0.310868,0.290584,0.00415198
"./ResampledDatabase/Violin",D00250.obj,-0.296829,-0.850507,-0.627543,0.319498,0.00337665
"./ResampledDatabase/Violin",D00324.obj,-0.67735,-0.00130324,-0.817339,0.285865,0.00576424
"./ResampledDatabase/Violin",D00340.obj,-0.62185,-0.874831,-0.27399,0.37636,0.00227173
"./ResampledDatabase/Violin",D00349.obj,-0.529115,-0.26085,-0.0140221,0.394278,0.00649519
"./ResampledDatabase/Violin",D00376.obj,-0.760852,-0.579753,-0.0818417,0.315569,0.00249076
"./ResampledDatabase/Violin",D00506.obj,-0.776681,-0.690557,-0.1868,0.349932,0.00359999
"./ResampledDatabase/Violin",D00570.obj,0.606315,-0.44038,-0.416583,0.137001,0.00117533
"./ResampledDatabase/Violin",D00602.obj,-0.839625,-0.719623,-0.00751902,0.223112,0.00279646
"./ResampledDatabase/Violin",D00620.obj,-0.649519,0.288962,-0.898761,0.366045,0.00227295
"./ResampledDatabase/Violin",D00675.obj,-0.681646,-0.805424,-0.328388,0.350423,0.00173448
"./ResampledDatabase/Violin",D00701.obj,-0.657182,0.0154144,-0.938052,0.341606,0.000588626
"./ResampledDatabase/Violin",D00704.obj,-0.0992922,-0.653522,-0.669863,0.320835,0.00532962
"./ResampledDatabase/Violin",D00743.obj,-0.745616,0.176135,-0.883851,0.397437,0.00546884
"./ResampledDatabase/Violin",D00891.obj,-0.638056,-0.12165,-0.918154,0.34111,0.00230945
