Class,File,BaryX,BaryY,BaryZ,LargeEig,SmallEig
"./ResampledDatabase/AircraftBuoyant",m1337.obj,-0.0193659,-0.0178217,-0.123392,0.276231,0.266036
"./ResampledDatabase/AircraftBuoyant",m1338.obj,0.0808746,-0.00392966,-0.00884573,0.0973287,0.0468346
"./ResampledDatabase/AircraftBuoyant",m1339.obj,0.088624,-0.00538057,-0.00129342,0.27502,0.100499
"./ResampledDatabase/AircraftBuoyant",m1340.obj,-0.285602,-0.00292727,-0.00243457,0.285325,0.0352035
"./ResampledDatabase/AircraftBuoyant",m1341.obj,-0.239211,-0.00206913,-0.0017176,0.288194,0.0332991
"./ResampledDatabase/AircraftBuoyant",m1342.obj,-0.108157,-0.00524532,-0.00268463,0.371156,0.0972446
"./ResampledDatabase/AircraftBuoyant",m1343.obj,-0.0964628,-0.0197512,-0.00216972,0.237472,0.117015
"./ResampledDatabase/AircraftBuoyant",m1344.obj,-0.215734,-0.0053091,-0.0151366,0.356837,0.142544
"./ResampledDatabase/AircraftBuoyant",m1345.obj,0.219356,-0.00166238,-0.0018362,0.292696,0.0969897
"./ResampledDatabase/AircraftBuoyant",m1346.obj,-0.0209376,0.0122008,0.00443365,0.275981,0.0234808
"./ResampledDatabase/AircraftBuoyant",m1347.obj,-0.0868938,-0.0171842,-0.000579269,0.278645,0.0241467
"./ResampledDatabase/AircraftBuoyant",m1348.obj,0.00817883,0.011323,0.00439116,0.25317,0.0246434
"./ResampledDatabase/AircraftBuoyant",m1349.obj,0.00393921,-0.0395341,-0.00454281,0.238087,0.0196323
"./ResampledDatabase/AircraftBuoyant",m1350.obj,-0.0717584,-0.00729634,-0.00224545,0.317411,0.0223433
"./ResampledDatabase/AircraftBuoyant",m1351.obj,-0.169687,-0.000239513,0.00689485,0.0358845,0.00167113
"./ResampledDatabase/AircraftBuoyant",m1352.obj,-0.0159531,-0.0220663,-0.00191818,0.238618,0.0300323
"./ResampledDatabase/Apartment",D00045.obj,-0.0250211,-0.0111858,0.0159339,0.10693,0.0366569
"./ResampledDatabase/Apartment",D00086.obj,-0.00274932,-0.222395,-0.0262792,0.291249,0.0214798
"./ResampledDatabase/Apartment",D00138.obj,-0.0207308,-0.0149106,-0.0104062,0.0405337,0.00691075
"./ResampledDatabase/Apartment",D00156.obj,-0.0019109,-0.0107278,-0.0369823,0.312032,0.0416021
"./ResampledDatabase/Apartment",D00310.obj,-0.0279671,-0.0284192,-0.0377259,0.277582,0.0249403
"./ResampledDatabase/Apartment",D00348.obj,-0.00205373,-0.0500851,-0.00200002,0.388506,0.108871
"./ResampledDatabase/Apartment",D00366.obj,-0.0179684,-0.0150595,0.0233255,0.333266,0.124958
"./ResampledDatabase/Apartment",D00478.obj,-0.0280781,-0.0520118,-0.00540896,0.229538,0.0470332
"./ResampledDatabase/Apartment",D00496.obj,0.00812179,0.0455029,-0.00301875,0.125819,0.0479642
"./ResampledDatabase/Apartment",D00639.obj,-0.127219,0.00317603,-0.0471617,0.249706,0.0735816
