query,accuracy,precision,recall,f1, r1, r2, r3, r4, r5, r6
./ResampledDatabase/AircraftBuoyant\m1337.obj,0.989845,0,0,0,./ResampledDatabase/Cup/m500.obj,./ResampledDatabase/Hat/m1636.obj,./ResampledDatabase/Bottle/D00940.obj,./ResampledDatabase/Mug/D00684.obj,./ResampledDatabase/Hand/m330.obj,./ResampledDatabase/FloorLamp/D00447.obj
./ResampledDatabase/AircraftBuoyant\m1339.obj,0.990812,0.166667,0.0666667,0.0952381,./ResampledDatabase/Hat/m1632.obj,./ResampledDatabase/Cup/D00463.obj,./ResampledDatabase/Vase/m537.obj,./ResampledDatabase/AircraftBuoyant/m1342.obj,./ResampledDatabase/HumanHead/m354.obj,./ResampledDatabase/BuildingNonResidential/m407.obj
./ResampledDatabase/AircraftBuoyant\m1340.obj,0.989845,0,0,0,./ResampledDatabase/Chess/m1599.obj,./ResampledDatabase/FloorLamp/D00028.obj,./ResampledDatabase/Cup/m499.obj,./ResampledDatabase/Vase/m531.obj,./ResampledDatabase/FloorLamp/D00740.obj,./ResampledDatabase/BuildingNonResidential/m472.obj
./ResampledDatabase/AircraftBuoyant\m1341.obj,0.989845,0,0,0,./ResampledDatabase/Chess/D01053.obj,./ResampledDatabase/Chess/m1598.obj,./ResampledDatabase/Chess/D01112.obj,./ResampledDatabase/FloorLamp/D00981.obj,./ResampledDatabase/Bottle/m489.obj,./ResampledDatabase/PlantIndoors/m1033.obj
./ResampledDatabase/AircraftBuoyant\m1342.obj,0.99178,0.333333,0.133333,0.190476,./ResampledDatabase/HumanHead/m359.obj,./ResampledDatabase/Vase/m537.obj,./ResampledDatabase/HumanHead/m364.obj,./ResampledDatabase/AircraftBuoyant/m1343.obj,./ResampledDatabase/AircraftBuoyant/m1339.obj,./ResampledDatabase/HumanHead/m354.obj
./ResampledDatabase/AircraftBuoyant\m1343.obj,0.990812,0.166667,0.0666667,0.0952381,./ResampledDatabase/Chess/m1606.obj,./ResampledDatabase/HumanHead/m354.obj,./ResampledDatabase/Cup/m501.obj,./ResampledDatabase/Hat/m1636.obj,./ResampledDatabase/AircraftBuoyant/m1342.obj,./ResampledDatabase/Drum/D00383.obj
./ResampledDatabase/AircraftBuoyant\m1344.obj,0.989845,0,0,0,./ResampledDatabase/Chess/m1605.obj,./ResampledDatabase/Chess/D01053.obj,./ResampledDatabase/FloorLamp/D00981.obj,./ResampledDatabase/FloorLamp/D00876.obj,./ResampledDatabase/Bottle/D00390.obj,./ResampledDatabase/Chess/D01112.obj
./ResampledDatabase/AircraftBuoyant\m1345.obj,0.989845,0,0,0,./ResampledDatabase/FloorLamp/D00228.obj,./ResampledDatabase/FloorLamp/D00740.obj,./ResampledDatabase/Chess/D01053.obj,./ResampledDatabase/Chess/D01045.obj,./ResampledDatabase/Bottle/m483.obj,./ResampledDatabase/FloorLamp/D00408.obj
./ResampledDatabase/AircraftBuoyant\m1346.obj,0.990812,0.166667,0.0666667,0.0952381,./ResampledDatabase/AircraftBuoyant/m1348.obj,./ResampledDatabase/Quadruped/m277.obj,./ResampledDatabase/Humanoid/m184.obj,./ResampledDatabase/Humanoid/m167.obj,./ResampledDatabase/NonWheelChair/m810.obj,./ResampledDatabase/Humanoid/m168.obj
./ResampledDatabase/AircraftBuoyant\m1347.obj,0.989845,0,0,0,./ResampledDatabase/Quadruped/m100.obj,./ResampledDatabase/Bottle/D00940.obj,./ResampledDatabase/Bird/m51.obj,./ResampledDatabase/Humanoid/m149.obj,./ResampledDatabase/Chess/m1606.obj,./ResampledDatabase/AquaticAnimal/m62.obj
./ResampledDatabase/AircraftBuoyant\m1348.obj,0.990812,0.166667,0.0666667,0.0952381,./ResampledDatabase/AircraftBuoyant/m1346.obj,./ResampledDatabase/Quadruped/m95.obj,./ResampledDatabase/Humanoid/m167.obj,./ResampledDatabase/Hand/D01193.obj,./ResampledDatabase/Humanoid/m161.obj,./ResampledDatabase/Quadruped/m111.obj
./ResampledDatabase/AircraftBuoyant\m1349.obj,0.989845,0,0,0,./ResampledDatabase/Cup/D00642.obj,./ResampledDatabase/Quadruped/D00934.obj,./ResampledDatabase/Humanoid/m184.obj,./ResampledDatabase/Quadruped/m104.obj,./ResampledDatabase/Humanoid/m118.obj,./ResampledDatabase/Ship/m1471.obj
./ResampledDatabase/AircraftBuoyant\m1350.obj,0.989845,0,0,0,./ResampledDatabase/Bottle/D00892.obj,./ResampledDatabase/Bird/m51.obj,./ResampledDatabase/Cellphone/D00369.obj,./ResampledDatabase/Insect/D00315.obj,./ResampledDatabase/Fish/D00293.obj,./ResampledDatabase/Bottle/m488.obj
./ResampledDatabase/AircraftBuoyant\m1351.obj,0.989845,0,0,0,./ResampledDatabase/Fish/D00142.obj,./ResampledDatabase/FloorLamp/D00875.obj,./ResampledDatabase/Tree/m1078.obj,./ResampledDatabase/Jet/m1181.obj,./ResampledDatabase/Ship/m1451.obj,./ResampledDatabase/Jet/m1204.obj
