Class,File,Vertices,Faces,FaceType,Minx,Miny,Minz,Maxx,Maxy,Maxz
AircraftBuoyant,m1337.obj,8941,17820,"Triangles",-1,-1,-1,0.81944,1,0.81944
AircraftBuoyant,m1339.obj,8507,19431,"Triangles",-1,-1,-1,0.225415,1,0.266973
AircraftBuoyant,m1340.obj,9233,18367,"Triangles",-1,-1,-1,-0.278556,1,-0.278549
AircraftBuoyant,m1341.obj,8211,16396,"Triangles",-1,-1,-1,-0.253526,1,-0.253526
AircraftBuoyant,m1342.obj,6712,13225,"Triangles",-1,-1,-1,0.23492,1,0.230232
AircraftBuoyant,m1343.obj,5256,10500,"Triangles",-1,-1,-1,0.444044,1,0.444044
AircraftBuoyant,m1344.obj,5021,9786,"Triangles",-1,-1,-1,0.366524,1,0.366526
AircraftBuoyant,m1345.obj,6095,11842,"Triangles",-1,-1,-1,0.213215,1,0.213215
AircraftBuoyant,m1346.obj,5296,10483,"Triangles",-1,-1,-1,-0.374571,-0.305842,1
AircraftBuoyant,m1347.obj,8195,16554,"Triangles",-1,-1,-1,-0.395608,-0.168672,1
AircraftBuoyant,m1348.obj,5959,11710,"Triangles",-1,-1,-1,-0.375383,-0.305352,1
AircraftBuoyant,m1349.obj,10107,19990,"Triangles",-1,-1,-1,1,-0.241678,-0.476531
AircraftBuoyant,m1350.obj,8281,16344,"Triangles",-1,-1,-1,1,-0.439333,-0.41048
AircraftBuoyant,m1351.obj,6493,11895,"Triangles",-1,-1,-1,-0.613754,-0.591067,1
AircraftBuoyant,m1352.obj,6002,11756,"Triangles",-1,-1,-1,1,-0.259701,-0.352377
Apartment,D00045.obj,7432,8980,"Triangles",-1,-1,-1,0.960421,1,0.201245
Apartment,D00086.obj,5123,10319,"Triangles",-1,-1,-1,1,0.869428,-0.204787
Apartment,D00138.obj,5413,10434,"Triangles",-1,-1,-1,1,0.472323,-0.33719
Apartment,D00156.obj,6366,7098,"Triangles",-1,-1,-1,1,0.873566,0.447574
Apartment,D00310.obj,8358,3792,"Triangles",-1,-1,-1,0.0960398,0.439091,1
Apartment,D00348.obj,7733,14462,"Triangles",-1,-1,-1,1,0.170729,0.221493
Apartment,D00366.obj,5454,10860,"Triangles",-1,-1,-1,1,0.76436,0.454282
Apartment,D00478.obj,9928,7676,"Triangles",-1,-1,-1,1,-0.215748,-0.802801
Apartment,D00639.obj,7719,13720,"Triangles",-1,-1,-1,1,0.240358,0.350432
Apartment,D00651.obj,6366,7051,"Triangles",-1,-1,-1,1,0.991701,0.303501
Apartment,D00681.obj,6911,5275,"Triangles",-1,-1,-1,1,0.548075,0.269085
Apartment,D00792.obj,7566,13636,"Triangles",-1,-1,-1,0.968807,1,0.584979
Apartment,D00859.obj,5291,9989,"Triangles",-1,-1,-1,1,0.373574,-0.427676
Apartment,D00860.obj,9928,7663,"Triangles",-1,-1,-1,-0.745877,1,-0.481412
Apartment,D00869.obj,6184,11577,"Triangles",-1,-1,-1,1,0.394859,0.114751
Apartment,D00921.obj,6421,1826,"Triangles",-1,-1,-1,1,0.241869,0.338358
Apartment,D00953.obj,5705,10234,"Triangles",-1,-1,-1,0.874215,1,0.11859
