query,accuracy,precision,recall,f1, r1, r2, r3, r4, r5, r6
./ResampledDatabase/AircraftBuoyant\m1337.obj,0.991753,0.166667,0.0625,0.0909091,./ResampledDatabase/Cup/m500.obj,./ResampledDatabase/AircraftBuoyant/m1338.obj,./ResampledDatabase/Hat/m1636.obj,./ResampledDatabase/Bottle/D00940.obj,./ResampledDatabase/Hand/m330.obj,./ResampledDatabase/Mug/D00684.obj
./ResampledDatabase/AircraftBuoyant\m1338.obj,0.990928,0,0,0,./ResampledDatabase/Mug/D00684.obj,./ResampledDatabase/Hat/m1641.obj,./ResampledDatabase/HumanHead/m360.obj,./ResampledDatabase/Cup/m500.obj,./ResampledDatabase/HumanHead/m344.obj,./ResampledDatabase/Cellphone/D00902.obj
./ResampledDatabase/AircraftBuoyant\m1339.obj,0.992577,0.333333,0.125,0.181818,./ResampledDatabase/Cup/D00463.obj,./ResampledDatabase/Hat/m1632.obj,./ResampledDatabase/Vase/m537.obj,./ResampledDatabase/AircraftBuoyant/m1342.obj,./ResampledDatabase/AircraftBuoyant/m1343.obj,./ResampledDatabase/BuildingNonResidential/m407.obj
./ResampledDatabase/AircraftBuoyant\m1340.obj,0.990928,0,0,0,./ResampledDatabase/Chess/m1599.obj,./ResampledDatabase/FloorLamp/D00028.obj,./ResampledDatabase/Cup/m499.obj,./ResampledDatabase/Vase/m531.obj,./ResampledDatabase/FloorLamp/D00740.obj,./ResampledDatabase/Tree/m1091.obj
./ResampledDatabase/AircraftBuoyant\m1341.obj,0.990928,0,0,0,./ResampledDatabase/Chess/m1598.obj,./ResampledDatabase/Chess/D01053.obj,./ResampledDatabase/FloorLamp/D00981.obj,./ResampledDatabase/Chess/D01112.obj,./ResampledDatabase/Bottle/m489.obj,./ResampledDatabase/PlantIndoors/m1033.obj
./ResampledDatabase/AircraftBuoyant\m1342.obj,0.992577,0.333333,0.125,0.181818,./ResampledDatabase/HumanHead/m359.obj,./ResampledDatabase/Vase/m537.obj,./ResampledDatabase/AircraftBuoyant/m1343.obj,./ResampledDatabase/HumanHead/m364.obj,./ResampledDatabase/AircraftBuoyant/m1339.obj,./ResampledDatabase/HumanHead/m354.obj
./ResampledDatabase/AircraftBuoyant\m1343.obj,0.992577,0.333333,0.125,0.181818,./ResampledDatabase/HumanHead/m354.obj,./ResampledDatabase/Hat/m1636.obj,./ResampledDatabase/AircraftBuoyant/m1342.obj,./ResampledDatabase/AircraftBuoyant/m1339.obj,./ResampledDatabase/Drum/D00383.obj,./ResampledDatabase/Cup/m501.obj
./ResampledDatabase/AircraftBuoyant\m1344.obj,0.990928,0,0,0,./ResampledDatabase/Chess/m1605.obj,./ResampledDatabase/Chess/m1610.obj,./ResampledDatabase/Chess/D01053.obj,./ResampledDatabase/FloorLamp/D00981.obj,./ResampledDatabase/FloorLamp/D00876.obj,./ResampledDatabase/Bottle/D00390.obj
./ResampledDatabase/AircraftBuoyant\m1345.obj,0.990928,0,0,0,./ResampledDatabase/FloorLamp/D00740.obj,./ResampledDatabase/FloorLamp/D00228.obj,./ResampledDatabase/Chess/D01053.obj,./ResampledDatabase/Bottle/m483.obj,./ResampledDatabase/FloorLamp/D00408.obj,./ResampledDatabase/Chess/D01045.obj
./ResampledDatabase/AircraftBuoyant\m1346.obj,0.991753,0.166667,0.0625,0.0909091,./ResampledDatabase/AircraftBuoyant/m1348.obj,./ResampledDatabase/Quadruped/m277.obj,./ResampledDatabase/Humanoid/m167.obj,./ResampledDatabase/Humanoid/m161.obj,./ResampledDatabase/Humanoid/m184.obj,./ResampledDatabase/Humanoid/m177.obj
