query,accuracy,precision,recall,f1, r1, r2, r3, r4, r5, r6
./ResampledDatabase/AircraftBuoyant\m1337.obj,0.716418,0.166667,0.0666667,0.0952381,./ResampledDatabase/AquaticAnimal/m61.obj,./ResampledDatabase/AquaticAnimal/m70.obj,./ResampledDatabase/AquaticAnimal/m71.obj,./ResampledDatabase/AquaticAnimal/m69.obj,./ResampledDatabase/AircraftBuoyant/m1346.obj,./ResampledDatabase/AquaticAnimal/m75.obj
./ResampledDatabase/AircraftBuoyant\m1339.obj,0.776119,0.5,0.2,0.285714,./ResampledDatabase/AircraftBuoyant/m1343.obj,./ResampledDatabase/Apartment/D00859.obj,./ResampledDatabase/Apartment/D00681.obj,./ResampledDatabase/AircraftBuoyant/m1345.obj,./ResampledDatabase/AircraftBuoyant/m1342.obj,./ResampledDatabase/AquaticAnimal/m64.obj
./ResampledDatabase/AircraftBuoyant\m1340.obj,0.716418,0.166667,0.0666667,0.0952381,./ResampledDatabase/AircraftBuoyant/m1341.obj,./ResampledDatabase/AquaticAnimal/m79.obj,./ResampledDatabase/AquaticAnimal/m67.obj,./ResampledDatabase/AquaticAnimal/m76.obj,./ResampledDatabase/AquaticAnimal/m69.obj,./ResampledDatabase/AquaticAnimal/m71.obj
./ResampledDatabase/AircraftBuoyant\m1341.obj,0.716418,0.166667,0.0666667,0.0952381,./ResampledDatabase/AircraftBuoyant/m1340.obj,./ResampledDatabase/AquaticAnimal/m76.obj,./ResampledDatabase/AquaticAnimal/m67.obj,./ResampledDatabase/AquaticAnimal/m69.obj,./ResampledDatabase/AquaticAnimal/m79.obj,./ResampledDatabase/AquaticAnimal/m74.obj
./ResampledDatabase/AircraftBuoyant\m1342.obj,0.716418,0.166667,0.0666667,0.0952381,./ResampledDatabase/AquaticAnimal/m73.obj,./ResampledDatabase/AircraftBuoyant/m1345.obj,./ResampledDatabase/AquaticAnimal/m72.obj,./ResampledDatabase/AquaticAnimal/m78.obj,./ResampledDatabase/AquaticAnimal/m79.obj,./ResampledDatabase/AquaticAnimal/m58.obj
./ResampledDatabase/AircraftBuoyant\m1343.obj,0.776119,0.5,0.2,0.285714,./ResampledDatabase/Apartment/D00859.obj,./ResampledDatabase/Apartment/D00681.obj,./ResampledDatabase/AircraftBuoyant/m1345.obj,./ResampledDatabase/AircraftBuoyant/m1339.obj,./ResampledDatabase/AircraftBuoyant/m1337.obj,./ResampledDatabase/AquaticAnimal/m75.obj
./ResampledDatabase/AircraftBuoyant\m1344.obj,0.746269,0.333333,0.133333,0.190476,./ResampledDatabase/AquaticAnimal/m60.obj,./ResampledDatabase/AquaticAnimal/m61.obj,./ResampledDatabase/AquaticAnimal/m69.obj,./ResampledDatabase/AircraftBuoyant/m1337.obj,./ResampledDatabase/AircraftBuoyant/m1346.obj,./ResampledDatabase/AquaticAnimal/m71.obj
./ResampledDatabase/AircraftBuoyant\m1345.obj,0.776119,0.5,0.2,0.285714,./ResampledDatabase/AircraftBuoyant/m1341.obj,./ResampledDatabase/AircraftBuoyant/m1340.obj,./ResampledDatabase/AircraftBuoyant/m1342.obj,./ResampledDatabase/AquaticAnimal/m69.obj,./ResampledDatabase/AquaticAnimal/m72.obj,./ResampledDatabase/AquaticAnimal/m76.obj
./ResampledDatabase/AircraftBuoyant\m1346.obj,0.716418,0.166667,0.0666667,0.0952381,./ResampledDatabase/AircraftBuoyant/m1348.obj,./ResampledDatabase/AquaticAnimal/m61.obj,./ResampledDatabase/AquaticAnimal/m75.obj,./ResampledDatabase/AquaticAnimal/m70.obj,./ResampledDatabase/AquaticAnimal/m71.obj,./ResampledDatabase/AquaticAnimal/m69.obj
./ResampledDatabase/AircraftBuoyant\m1347.obj,0.686567,0,0,0,./ResampledDatabase/AquaticAnimal/m55.obj,./ResampledDatabase/AquaticAnimal/m54.obj,./ResampledDatabase/AquaticAnimal/m53.obj,./ResampledDatabase/Apartment/D00366.obj,./ResampledDatabase/AquaticAnimal/m56.obj,./ResampledDatabase/Apartment/D00921.obj
