Class,File,SurfaceArea,Volume,Compactness,Rectangularity,Diameter,Convexity,Eccentricity
"./ResampledDatabase/AircraftBuoyant",m1337.obj,2.60043,0.383011,1.05989,0.0578504,1.04086,6.76032,1.03832
"./ResampledDatabase/AircraftBuoyant",m1338.obj,0.78738,0.00557067,139.087,0.0070737,0.510499,0.504265,2.07814
"./ResampledDatabase/AircraftBuoyant",m1339.obj,3.16751,0.213822,6.14607,0.0688704,1.00007,9.974,2.73654
"./ResampledDatabase/AircraftBuoyant",m1340.obj,0.519022,0.0018349,367.182,0.00176267,1,0.170188,8.10502
"./ResampledDatabase/AircraftBuoyant",m1341.obj,0.659236,0.0120166,17.543,0.0107826,1,2.38263,8.65471
"./ResampledDatabase/AircraftBuoyant",m1342.obj,1.61007,0.102357,3.52246,0.033687,1.00556,25.3876,3.81673
"./ResampledDatabase/AircraftBuoyant",m1343.obj,2.60906,0.220601,3.22692,0.0528952,1.00632,7.43594,2.02942
"./ResampledDatabase/AircraftBuoyant",m1344.obj,1.54735,0.125757,2.07135,0.0336717,1.00268,24.2571,2.50335
"./ResampledDatabase/AircraftBuoyant",m1345.obj,2.39046,0.131887,6.94368,0.0448018,1,2.00499,3.01781
"./ResampledDatabase/AircraftBuoyant",m1346.obj,0.700026,0.0095261,33.4241,0.0109711,1.00872,4.69401,11.7535
"./ResampledDatabase/AircraftBuoyant",m1347.obj,1.03301,0.0210061,22.0885,0.0209037,1.00907,2.21697,11.5397
"./ResampledDatabase/AircraftBuoyant",m1348.obj,0.698646,0.00959508,32.7507,0.0110571,1.00867,1.40748,10.2733
"./ResampledDatabase/AircraftBuoyant",m1349.obj,0.674277,0.00534378,94.9217,0.00673091,1.00772,1.47282,12.1273
"./ResampledDatabase/AircraftBuoyant",m1350.obj,0.742557,0.00211245,811.267,0.0031956,1.00652,0.63593,14.2061
"./ResampledDatabase/AircraftBuoyant",m1352.obj,0.90205,0.00932929,74.5661,0.00972947,1,0.61241,7.94538
"./ResampledDatabase/Apartment",D00045.obj,3.55102,0.00391298,25857.8,0.00703959,1.26014,0.131872,3.11047
"./ResampledDatabase/Apartment",D00086.obj,0.983066,0.0344376,7.08322,0.0163126,0.688824,374.985,12.6938
"./ResampledDatabase/Apartment",D00156.obj,12.8176,0.224706,368.759,0.0675659,1.11229,21.4708,7.77361
"./ResampledDatabase/Apartment",D00310.obj,4.20175,0.00163903,244154,0.0014733,0.945334,0.139896,10.8558
"./ResampledDatabase/Apartment",D00348.obj,2.82584,0.106498,17.5917,0.0372361,1.15316,3.08476,3.5685
"./ResampledDatabase/Apartment",D00366.obj,3.45579,0.0778373,60.2304,0.0151678,1.15225,1.28792,2.66702
"./ResampledDatabase/Apartment",D00478.obj,3.09592,0.0151672,1140.52,0.00828249,1.0221,0.994983,5.05207
"./ResampledDatabase/Apartment",D00496.obj,1.23187,0,0,0,0.819473,0,2.62319
"./ResampledDatabase/Apartment",D00626.obj,3.11036,0.0523594,97.0487,0.0352457,1.03248,409.089,6.19985
"./ResampledDatabase/Apartment",D00639.obj,5.51624,0.0629979,373.959,0.0188051,1.07912,9.82956,3.39359
"./ResampledDatabase/Apartment",D00651.obj,11.0061,0.172173,397.666,0.0408315,1.03069,6.33946,7.77593
"./ResampledDatabase/Apartment",D00681.obj,5.88606,0.0196858,4652.82,0.00713651,0.87905,11.6026,8.03205
"./ResampledDatabase/Apartment",D00780.obj,1.43142,0.000210863,583240,0.000213664,0.969327,0.0133484,23.3681
"./ResampledDatabase/Apartment",D00792.obj,2.21226,0.00111422,77111,0.000178531,1.00723,0.587528,1.95043
"./ResampledDatabase/Apartment",D00859.obj,2.52402,0.00601191,3933.69,0.00382374,1.00404,0.730998,14.7826
"./ResampledDatabase/Apartment",D00860.obj,2.98528,0.0143811,1137.41,0.00791384,1.00386,1.18403,5.05375
"./ResampledDatabase/Apartment",D00869.obj,3.2879,0.00028151,3.96565e+06,9.05224e-05,1.13467,0.012851,3.64933
"./ResampledDatabase/Apartment",D00921.obj,2.33585,9.54878e-05,1.23591e+07,4.96057e-05,1.0134,0.00321231,1.77888
