Class,File,SurfaceArea,Volume,Compactness,Rectangularity,Diameter,Convexity,Eccentricity,A3bin0,A3bin1,A3bin2,A3bin3,A3bin4,A3bin5,A3bin6,A3bin7,A3bin8,A3bin9,A3bin10,A3bin11,A3bin12,A3bin13,A3bin14,A3bin15,A3bin16,A3bin17,A3bin18,A3bin19,D1bin0,D1bin1,D1bin2,D1bin3,D1bin4,D1bin5,D1bin6,D1bin7,D1bin8,D1bin9,D1bin10,D1bin11,D1bin12,D1bin13,D1bin14,D1bin15,D1bin16,D1bin17,D1bin18,D1bin19,D1bin20,D1bin21,D1bin22,D1bin23,D1bin24,D1bin25,D1bin26,D1bin27,D1bin28,D1bin29,D2bin0,D2bin1,D2bin2,D2bin3,D2bin4,D2bin5,D2bin6,D2bin7,D2bin8,D2bin9,D2bin10,D2bin11,D2bin12,D2bin13,D2bin14,D2bin15,D2bin16,D2bin17,D2bin18,D2bin19,D3bin0,D3bin1,D3bin2,D3bin3,D3bin4,D3bin5,D3bin6,D3bin7,D3bin8,D3bin9,D3bin10,D3bin11,D3bin12,D3bin13,D3bin14,D3bin15,D3bin16,D3bin17,D3bin18,D3bin19,D4bin0,D4bin1,D4bin2,D4bin3,D4bin4,D4bin5,D4bin6,D4bin7,D4bin8,D4bin9,D4bin10,D4bin11,D4bin12,D4bin13,D4bin14,D4bin15,D4bin16,D4bin17,D4bin18,D4bin19
"./test_objs/AircraftBuoyant",m1337.obj,2.34689,0.305188,1.22713,0.0460959,0.988817,2.56485,1.03832,0.0213206,0.0610343,0.084507,0.0919029,0.0953577,0.101225,0.0991169,0.0999748,0.0909257,0.0767511,0.0595559,0.0418481,0.0294311,0.0192804,0.0125571,0.00716056,0.0044696,0.00227874,0.00105567,0.000246916,0,0,0,0,0,0,0,0,0,0,0.005,0.015,0.025,0.015,0.06,0.05,0.07,0.04,0.06,0.055,0.08,0.08,0.095,0.04,0.07,0.04,0.05,0.07,0.045,0.035,0.00178382,0.00754833,0.0190271,0.0327962,0.0343218,0.04205,0.0510254,0.0461764,0.0521489,0.0537237,0.0581938,0.0507792,0.0755004,0.0731006,0.0823202,0.0949798,0.0987735,0.068144,0.0228008,0.0348062,0.00125854,0.00303851,0.00614298,0.0142638,0.0248452,0.0371018,0.046253,0.0599901,0.0681685,0.0728467,0.0825528,0.0949141,0.104315,0.0990101,0.0864184,0.0818282,0.0618036,0.0368495,0.0128796,0.00551894,0.267376,0.1826,0.137491,0.103991,0.0800409,0.0618977,0.0473661,0.036044,0.0272266,0.0193173,0.0135742,0.00918388,0.00616765,0.00367422,0.00189911,0.00115399,0.000599896,0.000248002,0.000118415,3.01624e-05,
"./test_objs/AircraftBuoyant",m1338.obj,2.99401,0.317686,2.35132,0.403401,0.995473,2.22168,2.07814,0.023723,0.0579296,0.0814113,0.0910918,0.096596,0.10035,0.100418,0.0984806,0.0912114,0.077735,0.0603585,0.0428191,0.0301024,0.0201147,0.0126826,0.00753308,0.004165,0.00211034,0.000927847,0.000240209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570776,0.0350457,0.12774,0.183676,0.255023,0.193721,0.0925799,0.0203196,0.0218037,0.0237443,0.0219178,0.0238584,0.00408448,0.0120584,0.0204474,0.0263761,0.0334429,0.043079,0.0493298,0.0501359,0.0533272,0.0574797,0.0617402,0.0679009,0.0734136,0.0806954,0.0862601,0.0946981,0.094039,0.0541753,0.0274482,0.00986815,0.000675283,0.00423109,0.0101633,0.0187925,0.0280361,0.0380911,0.0490967,0.0582435,0.0678964,0.0791793,0.0892879,0.0982512,0.10533,0.0994821,0.0935665,0.0788422,0.0513556,0.0223184,0.00645385,0.000707243,0.296153,0.184227,0.136824,0.103328,0.0785074,0.0604003,0.0446323,0.0320073,0.0229803,0.0156369,0.0106489,0.00642248,0.00394904,0.00221667,0.00119609,0.000520039,0.000230767,8.12561e-05,3.25024e-05,4.33366e-06,
"./test_objs/AircraftBuoyant",m1339.obj,2.85589,-0.000784843,334355,-0.000252756,0.950064,-0.00776505,2.73654,0.0965969,0.11719,0.092813,0.08585,0.0758762,0.0679193,0.0627162,0.0568938,0.0525969,0.0493548,0.0476446,0.04034,0.0349056,0.0296571,0.0252518,0.0215794,0.0180618,0.0134418,0.00821187,0.00309958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111881,0.0378263,0.109217,0.160362,0.304209,0.107619,0.103356,0.0218434,0.0255727,0.0266383,0.0463506,0.0239744,0.0218434,0.0401346,0.0611424,0.129053,0.139938,0.127273,0.0895514,0.0546027,0.0317519,0.0293435,0.0297528,0.0312046,0.0327925,0.0411071,0.0456767,0.0259126,0.0274745,0.023145,0.0173238,0.0138638,0.00895704,0.0153879,0.0545395,0.087033,0.124847,0.132523,0.130977,0.0882861,0.0744414,0.0738562,0.0583206,0.040766,0.0335309,0.0288001,0.0208279,0.0158865,0.00989731,0.00601395,0.00279949,0.00108181,0.000184775,0.76661,0.124597,0.0497615,0.0247186,0.0134315,0.00800997,0.00487866,0.0031139,0.00188553,0.00118594,0.000697418,0.000392773,0.000298116,0.000179522,0.000102273,7.94251e-05,2.72004e-05,2.17603e-05,4.35206e-06,4.35206e-06,
"./test_objs/AircraftBuoyant",m1340.obj,0.468418,0.0049922,36.4639,0.0047957,0.950001,0.242638,8.10502,0.11645,0.101115,0.0761582,0.0709835,0.0606661,0.0617803,0.064887,0.0675292,0.0726036,0.066146,0.0528264,0.0403965,0.0289669,0.0215907,0.0200979,0.0245743,0.0234922,0.0174805,0.00932011,0.00293497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010296,0.020592,0.030888,0.109395,0.238095,0.216216,0.341055,0.033462,0.081938,0.128157,0.229072,0.115182,0.0243211,0.0119237,0.018934,0.0221872,0.0217917,0.0205801,0.0195548,0.0223925,0.0362227,0.0391095,0.0392758,0.0514017,0.0657887,0.0263828,0.0088006,0.0169844,0.0211906,0.0806102,0.130769,0.125169,0.0875744,0.0718297,0.0517548,0.0590294,0.0818439,0.0812674,0.0751384,0.0513491,0.0247136,0.0149954,0.0139035,0.010927,0.00935595,0.0058692,0.00200263,0.000706871,0.710476,0.162079,0.0621452,0.0253332,0.0155541,0.00993209,0.0057017,0.00324516,0.00206004,0.00117966,0.000685951,0.000527571,0.00036919,0.00030693,0.000204256,0.000115782,4.15066e-05,2.62147e-05,1.31073e-05,3.27684e-06,
"./test_objs/AircraftBuoyant",m1341.obj,0.59496,-0.0300724,2.05909,-0.0269841,0.95,-2.58376,8.65471,0.153752,0.154875,0.073643,0.0537169,0.0473805,0.0473173,0.0458359,0.0424021,0.0417143,0.0442653,0.0378605,0.0325148,0.0306579,0.0313602,0.0325055,0.0341352,0.0323187,0.029302,0.0240466,0.0103967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00943396,0.0235849,0.0778302,0.341981,0.240566,0.226415,0.0471698,0.0330189,0.0393843,0.0950993,0.131121,0.073034,0.0490672,0.0533594,0.0566813,0.0571484,0.0415113,0.0596784,0.0680041,0.07684,0.0526046,0.0289335,0.0170895,0.0172108,0.0290428,0.021527,0.0191594,0.013504,0.00338225,0.0247589,0.0576259,0.087288,0.0969098,0.096141,0.119444,0.113976,0.110598,0.0946242,0.0658066,0.0520524,0.0324862,0.0156683,0.00904597,0.00751254,0.00575917,0.003984,0.00227213,0.000665038,0.725087,0.167073,0.0573055,0.024191,0.0115995,0.00624193,0.00353731,0.00200924,0.0010568,0.000643747,0.000389983,0.000283424,0.000197738,0.000149402,8.23908e-05,6.37155e-05,3.62519e-05,3.29563e-05,1.31825e-05,5.49272e-06,
"./test_objs/AircraftBuoyant",m1342.obj,1.45309,0.12657,1.6934,0.0416559,0.955286,5.88214,3.81673,0.146041,0.076475,0.0730804,0.0662043,0.062167,0.0595854,0.0599738,0.0635627,0.0642766,0.0607889,0.056606,0.0491886,0.0423393,0.0329002,0.0262183,0.021306,0.0168473,0.0125787,0.00731517,0.00254548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319744,0.00799361,0.0143885,0.0191847,0.0647482,0.407674,0.32534,0.0175859,0.0271783,0.0183853,0.0215827,0.0247802,0.0239808,0.0239808,0.260382,0.192826,0.0803358,0.0395259,0.00600369,0.0236115,0.0356459,0.00817139,0.00788517,0.00948542,0.023001,0.0378086,0.0111337,0.0238416,0.0404767,0.0491815,0.0507517,0.0391636,0.0525591,0.00821042,0.15475,0.178602,0.103072,0.0963506,0.0859156,0.0770267,0.0658725,0.0536031,0.0363348,0.0199419,0.0149698,0.018125,0.0180434,0.014542,0.0126662,0.0138454,0.0142516,0.011517,0.00885892,0.00171143,0.920559,0.0402083,0.0154201,0.00718235,0.00370856,0.00242491,0.00205753,0.00171298,0.00148473,0.00114235,0.000920619,0.000838013,0.000652151,0.000477157,0.000365204,0.000389116,0.00022934,0.000155429,5.97805e-05,1.19561e-05,
"./test_objs/AircraftBuoyant",m1343.obj,2.35468,0.201067,2.85536,0.0482115,0.956007,7.48626,2.02942,0.0295707,0.0819183,0.0879614,0.0996415,0.105098,0.101984,0.0939847,0.0819162,0.0721221,0.0625887,0.052091,0.0399219,0.0305373,0.0216019,0.0141702,0.0101082,0.00670915,0.00460122,0.00266083,0.000812596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039548,0.0282486,0.039548,0.112994,0.0847458,0.079096,0.0847458,0.129944,0.0451977,0.0677966,0.0564972,0.0564972,0.0677966,0.0564972,0.0508475,0.00405153,0.00791603,0.0372844,0.047818,0.0393468,0.0755422,0.0351374,0.0749619,0.072634,0.0560558,0.0969492,0.0956953,0.0744571,0.113534,0.0500464,0.0392211,0.0182616,0.0286785,0.00968386,0.0227244,0.00204522,0.0022594,0.0086544,0.0211179,0.0362302,0.0515873,0.0607886,0.0748679,0.0824619,0.0848064,0.0909756,0.0964425,0.0861964,0.0873986,0.0817154,0.0685307,0.0300116,0.0192889,0.0108204,0.00380067,0.305965,0.187762,0.136353,0.0979254,0.0727646,0.056417,0.0408212,0.0314794,0.0226529,0.0168497,0.0113499,0.00751453,0.00463745,0.00305891,0.00191879,0.00131303,0.000650381,0.000367025,0.00016399,3.6814e-05,
"./test_objs/AircraftBuoyant",m1344.obj,1.39649,0.144663,1.15065,0.0387339,0.952542,238.83,2.50335,0.172,0.0464347,0.0686415,0.0776819,0.0813037,0.0761258,0.0667444,0.0599524,0.0560455,0.0601291,0.0498374,0.0353556,0.0294534,0.02395,0.0219557,0.0209627,0.0208573,0.0167344,0.0115782,0.00425619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003663,0.0128205,0.0128205,0.00915751,0.0128205,0.0119048,0.018315,0.0787546,0.39011,0.27381,0.0457875,0.0201465,0.0274725,0.0302198,0.0265568,0.025641,0.136338,0.296346,0.0939597,0.0112415,0.0041769,0.00534299,0.00639897,0.00669925,0.00784932,0.00784232,0.0161471,0.0290401,0.0399543,0.0391005,0.0345713,0.040771,0.0517793,0.0822567,0.05682,0.0333641,0.0918037,0.247491,0.0770747,0.0635996,0.0919836,0.129961,0.0894562,0.0276325,0.00730919,0.00914398,0.0114367,0.0121996,0.016907,0.0197258,0.0203388,0.0241469,0.0259734,0.0209787,0.0107152,0.00212216,0.877633,0.0642941,0.0170409,0.00677955,0.00535176,0.00484316,0.00457851,0.00396536,0.00338379,0.00309954,0.00249945,0.00210302,0.00169679,0.00117403,0.000807012,0.000430189,0.000188412,0.000101285,2.28708e-05,7.62359e-06,
"./test_objs/AircraftBuoyant",m1345.obj,2.15739,0.000636822,218926,0.000216328,0.95,0.0108498,3.01781,0.0583762,0.0666404,0.0799186,0.0915144,0.0901704,0.0833472,0.0848707,0.0825983,0.0781444,0.0658163,0.0515015,0.0403358,0.0323202,0.0255382,0.0205593,0.0165624,0.0122219,0.00994031,0.00691603,0.00270762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280492,0.0516861,0.0627167,0.0674441,0.069335,0.0872991,0.155058,0.146549,0.0787898,0.063347,0.0601954,0.0844627,0.0450678,0.0133384,0.0367172,0.0265618,0.0376715,0.0501317,0.047924,0.0625258,0.0795565,0.0823304,0.0968573,0.106001,0.0851814,0.042149,0.0273631,0.0341704,0.0348766,0.0319406,0.0345325,0.0417279,0.0284425,0.00317657,0.0107564,0.0188098,0.0320071,0.0468067,0.0644383,0.0778482,0.08901,0.0884684,0.0892783,0.0924466,0.0915315,0.0760603,0.0526729,0.0409653,0.0349619,0.0343883,0.029724,0.0224083,0.00424128,0.387228,0.18839,0.121834,0.0840128,0.0583995,0.0420042,0.0298888,0.021804,0.0165785,0.0130425,0.0101462,0.0082139,0.00604088,0.00456183,0.00331375,0.00218712,0.00139338,0.000698317,0.000230965,3.25303e-05,
"./test_objs/AircraftBuoyant",m1346.obj,0.631774,-0.0290805,2.63651,-0.0334915,0.95828,-3.16735,11.7535,0.0795114,0.135287,0.118783,0.087163,0.0660054,0.0542375,0.0465051,0.04173,0.0387375,0.0411644,0.0384268,0.0380984,0.0377908,0.0385645,0.0401535,0.0394553,0.0320202,0.0185577,0.00647075,0.00133724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109312,0.156545,0.190283,0.153846,0.0755735,0.0620783,0.0607287,0.0796221,0.112011,0.0178824,0.0536842,0.071185,0.0827121,0.0874102,0.0784896,0.0756729,0.0791104,0.0728382,0.0677125,0.0587007,0.0444841,0.0341296,0.0325355,0.0306451,0.0259109,0.030624,0.0273928,0.0210635,0.00781622,0.00108633,0.00871648,0.0225325,0.0379904,0.0552971,0.0699263,0.0806975,0.0886856,0.0977818,0.101504,0.101693,0.0981429,0.0875848,0.0735826,0.0480674,0.0175385,0.00692145,0.00159224,0.000491434,0.000167605,0.347516,0.202642,0.140759,0.100798,0.0739803,0.0517843,0.0352025,0.0219547,0.0125925,0.00625203,0.00333623,0.00172545,0.000792833,0.000381128,0.00018565,5.02346e-05,2.73014e-05,9.82851e-06,6.55234e-06,4.36823e-06,
