,class,k,accuracy,precision,recall
0,AircraftBuoyant,0,0.9932989690721651,0.375,0.0234375
1,Apartment,0,0.9906654170571693,0.18181818181818182,0.008264462809917356
2,AquaticAnimal,0,0.9879701386420191,0.41379310344827586,0.014268727705112965
3,Bed,0,0.988820160366552,0.4444444444444444,0.016460905349794237
4,Bicycle,0,0.9894369547977797,0.6923076923076923,0.026627218934911233
5,Biplane,0,0.9812325315005725,0.24444444444444444,0.0054320987654320994
6,Bird,0,0.9816119962511706,0.20454545454545456,0.004648760330578513
7,Bookset,0,0.9919175257731961,0.7,0.035
8,Bottle,0,0.9870967741935488,0.3548387096774194,0.01144640998959417
9,BuildingNonResidential,0,0.9819899304723095,0.16279069767441862,0.0037858301784748517
10,Bus,0,0.9915051546391753,0.2,0.01
11,Car,0,0.9637863167760083,0.5909090909090909,0.006714876033057848
12,Cellphone,0,0.9918827997829625,0.15789473684210525,0.008310249307479223
13,Chess,0,0.9842213781877378,0.3684210526315789,0.00969529085872576
14,City,0,0.9892466296590009,0.46153846153846156,0.017751479289940825
15,ClassicPiano,0,0.9916288659793814,0.35,0.017499999999999998
16,Computer,0,0.9875189003436426,0.36666666666666664,0.012222222222222221
17,ComputerKeyboard,0,0.9917525773195877,0.5,0.024999999999999998
18,Cup,0,0.9885147002672772,0.07407407407407407,0.0027434842249657062
19,DeskLamp,0,0.9869903558363822,0.22580645161290322,0.0072840790842872
20,DeskPhone,0,0.9913402061855671,0.0,0.0
21,Door,0,0.982200911052506,0.4186046511627907,0.009734991887506757
22,Drum,0,0.9920130222463373,0.3157894736842105,0.016620498614958446
23,Fish,0,0.9918350515463917,0.6,0.03
24,FloorLamp,0,0.9884536082474222,0.0,0.0
25,Glasses,0,0.9914639175257731,0.15,0.0075000000000000015
26,Guitar,0,0.991381443298969,0.05,0.0025
27,Gun,0,0.9758976182012084,0.27586206896551724,0.004756242568370988
28,Hand,0,0.9847757035385898,0.5405405405405406,0.014609203798392988
29,Hat,0,0.9935670103092786,0.2,0.013333333333333334
30,Helicopter,0,0.9789124722053767,0.43137254901960786,0.008458285274894268
31,House,0,0.9810675830469638,0.044444444444444446,0.0009876543209876543
32,HumanHead,0,0.9788639579543155,0.37254901960784315,0.007304882737408686
33,Humanoid,0,0.9415478437636146,0.6267605633802817,0.0044138067843681765
34,Insect,0,0.9726085598250545,0.2878787878787879,0.004361799816345269
35,Jet,0,0.9412299041165023,0.7412587412587412,0.005183627561249933
36,Knife,0,0.9896742268041234,0.48,0.0192
37,MilitaryVehicle,0,0.9916288659793814,0.35,0.017499999999999998
38,Monitor,0,0.9914226804123711,0.1,0.005
39,Monoplane,0,0.9914639175257733,0.15,0.0075000000000000015
40,Motorcycle,0,0.9893735130848534,0.6153846153846154,0.02366863905325443
41,Mug,0,0.9894762886597939,0.24,0.009600000000000001
42,MultiSeat,0,0.9813608247422678,0.4,0.008888888888888885
43,Musical_Instrument,0,0.9909278350515468,0.0,0.0
44,NonWheelChair,0,0.9771771321462042,0.32727272727272727,0.005950413223140496
45,PianoBoard,0,0.9921866521975039,0.5263157894736842,0.027700831024930747
46,PlantIndoors,0,0.9729103885804911,0.15384615384615385,0.002366863905325444
47,PlantWildNonTree,0,0.9885452462772045,0.1111111111111111,0.004115226337448559
48,Quadruped,0,0.9763284499909571,0.2982456140350877,0.00523237919359803
49,RectangleTable,0,0.9763429191535542,0.3157894736842105,0.00554016620498615
50,Rocket,0,0.9915876288659795,0.3,0.015
51,RoundTable,0,0.9866237113402058,0.28125,0.0087890625
52,Shelf,0,0.9836531853026699,0.1794871794871795,0.00460223537146614
53,Ship,0,0.9741802460924506,0.1935483870967742,0.003121748178980228
54,Sign,0,0.9938144329896907,0.0,0.0
55,Skyscraper,0,0.9914639175257731,0.15,0.0075000000000000015
56,Spoon,0,0.9923482245131728,0.2222222222222222,0.012345679012345678
57,Starship,0,0.9870701696042572,0.3225806451612903,0.010405827263267428
58,SubmachineGun,0,0.9915463917525772,0.25,0.0125
59,Sword,0,0.9785408406026963,0.4807692307692308,0.00924556213017751
60,Tool,0,0.9835051546391755,0.5,0.012500000000000002
61,Train,0,0.9877710629221471,0.1724137931034483,0.005945303210463734
62,Tree,0,0.9806902734199915,0.08695652173913043,0.001890359168241966
63,Truck,0,0.9886063382970596,0.18518518518518517,0.006858710562414266
64,TruckNonContainer,0,0.9920130222463375,0.3157894736842105,0.016620498614958446
65,Vase,0,0.9918393922951708,0.10526315789473684,0.00554016620498615
66,Violin,0,0.9918762886597939,0.65,0.0325
67,Wheel,0,0.99319587628866,0.25,0.015625
68,WheelChair,0,0.9914639175257735,0.15,0.0075000000000000015
69,AircraftBuoyant,1,0.9929896907216494,0.25,0.03125
70,Apartment,1,0.9902530459231493,0.09090909090909091,0.008264462809917356
