Class,File,Vertices,Faces,FaceType,Minx,Miny,Minz,Maxx,Maxy,Maxz
AircraftBuoyant,m1337.obj,262,504,"Triangles",0.025,0.025,0.025,0.889234,0.975,0.889234
AircraftBuoyant,m1338.obj,8847,17678,"Triangles",0.025,0.025,0.025,0.933058,0.975,0.937901
AircraftBuoyant,m1339.obj,7146,12436,"Triangles",0.025,0.025,0.025,0.607072,0.975,0.626812
AircraftBuoyant,m1340.obj,1571,2958,"Triangles",0.025,0.025,0.025,0.367686,0.975,0.367689
AircraftBuoyant,m1341.obj,933,1650,"Triangles",0.025,0.025,0.025,0.379575,0.975,0.379575
AircraftBuoyant,m1342.obj,5489,7742,"Triangles",0.025,0.025,0.025,0.611587,0.975,0.60936
AircraftBuoyant,m1343.obj,288,764,"Triangles",0.025,0.025,0.025,0.710921,0.975,0.710921
AircraftBuoyant,m1344.obj,2289,3838,"Triangles",0.025,0.025,0.025,0.674099,0.975,0.6741
AircraftBuoyant,m1345.obj,5617,9610,"Triangles",0.025,0.025,0.025,0.601277,0.975,0.601277
AircraftBuoyant,m1346.obj,1346,2216,"Triangles",0.025,0.025,0.025,0.322079,0.354725,0.975
AircraftBuoyant,m1347.obj,6661,12130,"Triangles",0.025,0.025,0.025,0.312086,0.419881,0.975
AircraftBuoyant,m1348.obj,1195,2190,"Triangles",0.025,0.025,0.025,0.321693,0.354958,0.975
AircraftBuoyant,m1349.obj,1148,1776,"Triangles",0.025,0.025,0.025,0.975,0.385203,0.273648
AircraftBuoyant,m1350.obj,2678,4836,"Triangles",0.025,0.025,0.025,0.975,0.291317,0.305022
AircraftBuoyant,m1352.obj,5136,8948,"Triangles",0.025,0.025,0.025,0.975,0.376642,0.332621
Apartment,D00045.obj,73585,99386,"Triangles",-0.465472,-0.480081,-0.312381,0.495213,0.5,0.27798
Apartment,D00086.obj,89349,146074,"Triangles",-0.920883,-0.343487,-0.415469,0.863162,1.32482,0.293879
Apartment,D00156.obj,73159,100906,"Triangles",-0.81948,-0.742071,-0.667138,0.881168,0.842832,0.566733
Apartment,D00310.obj,53927,59258,"Triangles",-0.744656,-0.389316,-0.368775,1.03298,0.494357,0.339434
Apartment,D00348.obj,8365,12438,"Triangles",-0.94171,-0.40949,-0.813025,0.725458,0.566411,0.205192
Apartment,D00366.obj,4262,7196,"Triangles",-0.895467,-0.856715,-0.663917,0.745644,0.59104,0.529402
Apartment,D00478.obj,107091,134954,"Triangles",-0.780623,-0.760414,-0.478043,0.910492,0.404719,0.451362
Apartment,D00626.obj,358726,349112,"Triangles",-0.885934,-0.597769,-0.512373,0.906987,0.33114,0.382066
Apartment,D00639.obj,14798,23740,"Triangles",-0.542818,-0.544259,-0.687879,1.14108,0.500059,0.449116
Apartment,D00651.obj,73006,100532,"Triangles",-0.948858,-0.950931,-0.556634,0.916559,0.904251,0.661818
Apartment,D00681.obj,60473,83238,"Triangles",-0.681671,-0.790363,-0.471744,1.09453,0.587597,0.656092
Apartment,D00780.obj,48327,70182,"Triangles",-0.977731,-0.618236,-0.189083,0.789199,0.449639,0.33395
Apartment,D00792.obj,5631,5762,"Triangles",-0.795163,-0.965409,-0.669296,1.10354,0.963376,0.859246
Apartment,D00859.obj,7195,10522,"Triangles",-0.824176,-0.692473,-0.33128,1.07379,0.611025,0.211846
Apartment,D00860.obj,106590,133912,"Triangles",-0.764923,-0.760034,-0.474753,0.927037,0.399913,0.451175
Apartment,D00869.obj,31117,45102,"Triangles",-0.984513,-0.521765,-0.380646,0.688383,0.644962,0.551785
Apartment,D00921.obj,58538,49944,"Triangles",-0.850705,-0.487423,-0.558467,0.822601,0.545748,0.554978
Apartment,D00953.obj,25431,34798,"Triangles",-0.949201,-0.826799,-0.444887,0.665321,0.896079,0.51871
Apartment,m463.obj,9626,15148,"Triangles",0.025,0.025,0.025,0.785029,0.975,0.574765
Apartment,m464.obj,50185,69450,"Triangles",0.025,0.025,0.025,0.347449,0.975,0.296305
Apartment,m465.obj,8971,15490,"Triangles",0.025,0.025,0.025,0.21702,0.975,0.251523
AquaticAnimal,m53.obj,29105,52110,"Triangles",0.025,0.025,0.025,0.163371,0.348761,0.975
AquaticAnimal,m54.obj,30006,51044,"Triangles",0.025,0.025,0.025,0.254899,0.371143,0.975
AquaticAnimal,m55.obj,28687,52466,"Triangles",0.025,0.025,0.025,0.18151,0.380146,0.975
AquaticAnimal,m56.obj,11291,18914,"Triangles",0.025,0.025,0.025,0.168956,0.367452,0.975
AquaticAnimal,m57.obj,31572,55836,"Triangles",0.025,0.025,0.025,0.143963,0.389443,0.975
AquaticAnimal,m58.obj,995,1650,"Triangles",0.025,0.025,0.025,0.537049,0.500211,0.975
AquaticAnimal,m59.obj,2094,2932,"Triangles",0.025,0.025,0.025,0.225,0.225,0.975
AquaticAnimal,m60.obj,4611,7162,"Triangles",0.025,0.025,0.025,0.348674,0.407675,0.975
AquaticAnimal,m61.obj,615,906,"Triangles",0.025,0.025,0.025,0.18743,0.443396,0.975
AquaticAnimal,m62.obj,603,946,"Triangles",0.025,0.025,0.025,0.131276,0.749178,0.975
AquaticAnimal,m63.obj,2584,4492,"Triangles",0.025,0.025,0.025,0.975,0.724541,0.777238
AquaticAnimal,m64.obj,705,990,"Triangles",0.025,0.025,0.025,0.975,0.545087,0.1789
AquaticAnimal,m65.obj,2870,4396,"Triangles",0.025,0.025,0.025,0.399816,0.604595,0.975
AquaticAnimal,m66.obj,14757,21118,"Triangles",0.025,0.025,0.025,0.445705,0.547553,0.975
AquaticAnimal,m67.obj,19588,36056,"Triangles",0.025,0.025,0.025,0.975,0.2497,0.388988
AquaticAnimal,m68.obj,2081,3018,"Triangles",0.025,0.025,0.025,0.975,0.278519,0.18743
AquaticAnimal,m69.obj,985,1458,"Triangles",0.025,0.025,0.025,0.357325,0.264776,0.975
AquaticAnimal,m70.obj,829,1370,"Triangles",0.025,0.025,0.025,0.454415,0.266076,0.975
AquaticAnimal,m71.obj,1068,1572,"Triangles",0.025,0.025,0.025,0.32599,0.371535,0.975
AquaticAnimal,m72.obj,1141,1622,"Triangles",0.025,0.025,0.025,0.456203,0.262828,0.975
AquaticAnimal,m73.obj,824,1212,"Triangles",0.025,0.025,0.025,0.975,0.610865,0.376181
AquaticAnimal,m74.obj,916,1132,"Triangles",0.025,0.025,0.025,0.354455,0.321596,0.975
AquaticAnimal,m75.obj,754,1248,"Triangles",0.025,0.025,0.025,0.538384,0.299311,0.975
AquaticAnimal,m76.obj,6556,9384,"Triangles",0.025,0.025,0.025,0.39593,0.35314,0.975
AquaticAnimal,m77.obj,28234,44932,"Triangles",0.025,0.025,0.025,0.975,0.407994,0.611203
AquaticAnimal,m78.obj,2185,2434,"Triangles",0.025,0.025,0.025,0.975,0.51665,0.428181
AquaticAnimal,m79.obj,360,500,"Triangles",0.025,0.025,0.025,0.975,0.256171,0.300958
AquaticAnimal,m80.obj,2871,4586,"Triangles",0.025,0.025,0.025,0.975,0.308883,0.416001
AquaticAnimal,m81.obj,3928,4560,"Triangles",0.025,0.025,0.025,0.4145,0.291,0.975
TruckNonContainer,D00055.obj,7636,45843,"Triangles",0,0,0,2.54821,5.85285,3.75792
TruckNonContainer,D00143.obj,3622,30261,"Triangles",0.97501,6.84813,-0.003855,5.28235,8.74786,3.15915
TruckNonContainer,D00148.obj,2448,14064,"Triangles",2.85873,9.62242,0.007121,4.64376,14.1735,2.01458
TruckNonContainer,D00215.obj,4409,23541,"Triangles",-85.7269,-320.109,-45.5538,92.9482,169.11,134.995
TruckNonContainer,D00252.obj,2288,13668,"Triangles",-4.19512,0.291034,0,16.3387,12.2474,9.39042
TruckNonContainer,D00266.obj,6898,39423,"Triangles",-0.161621,-0.001006,0,2.14009,5.77523,2.2136
TruckNonContainer,D00267.obj,6035,36387,"Triangles",5.12225,-5.80774,1.05702,142.42,56.4549,76.1944
TruckNonContainer,D00275.obj,5510,32640,"Triangles",12.757,7.95888,0.076544,40.4667,16.0525,10.2298
TruckNonContainer,D00283.obj,6979,34398,"Triangles",0.855565,0.673984,0.00349072,0.940859,0.854657,0.116439
TruckNonContainer,D00353.obj,11914,72831,"Triangles",1.10204e-05,-0.000589981,0,3.32329,7.41129,4.19099
TruckNonContainer,D00553.obj,7248,42048,"Triangles",-1.33675,-3.12537,-1.8669,3.69653,10.8245,4.13561
TruckNonContainer,D00572.obj,4657,33006,"Triangles",0.00195067,0,0,2.75672,9.24579,2.58466
TruckNonContainer,D00608.obj,7112,39882,"Triangles",-2.33769,0.216103,-0.000962,-0.350706,5.21958,2.14772
TruckNonContainer,D00619.obj,5231,31575,"Triangles",-293.268,18.1994,-4.22611,191.88,153.761,228.3
TruckNonContainer,D00699.obj,5071,34131,"Triangles",-0.001587,0.131142,-0.0126997,2.28951,5.66569,2.31732
TruckNonContainer,D00731.obj,4918,37590,"Triangles",3.47577,-0.133456,0,6.099,7.71034,3.05498
TruckNonContainer,D00737.obj,2578,13452,"Triangles",-72.4159,-245.398,-1.08963,72.8422,48.1026,140.698
TruckNonContainer,D00783.obj,5246,30654,"Triangles",8.06463,-1.39549,-0.000150005,15.8666,1.47686,2.832
TruckNonContainer,D00879.obj,4278,25308,"Triangles",1.91267,1.66569,-0.035788,9.54456,5.95246,4.20018
TruckNonContainer,D00943.obj,8852,45708,"Triangles",0.758438,-0.0508,0.146159,2.32999,4.29926,2.24877
Violin,D00108.obj,1529,8214,"Triangles",2.68762,-2.46873,0.483871,4.70813,3.10917,1.0828
Violin,D00216.obj,3864,24384,"Triangles",0.220861,-0.259678,0.133586,0.428767,-0.147309,0.723491
Violin,D00250.obj,4066,29310,"Triangles",-0.17854,0.120517,0.0625038,0.431319,0.196079,0.269974
Violin,D00324.obj,2454,15021,"Triangles",1.72684,2.25604,0.095745,2.70568,5.3374,0.659976
Violin,D00340.obj,4315,27552,"Triangles",0.686432,-0.037525,1.09775,0.901886,0.0263179,1.70089
Violin,D00349.obj,1299,7410,"Triangles",-14.7378,17.9008,0.42433,-14.2826,18.7407,1.5019
Violin,D00358.obj,7592,48261,"Triangles",0.48787,-0.0127201,-0.061643,0.695017,0.59669,0.039256
Violin,D00376.obj,1069,6219,"Triangles",3.63477,2.77945,-0.601902,4.93404,4.43222,3.47398
Violin,D00506.obj,2841,14943,"Triangles",4.2756,12.0406,-1.4026,10.7338,19.9225,18.0053
Violin,D00570.obj,2297,11481,"Triangles",-0.886558,0.090237,0.006208,2.60086,1.79447,2.13234
Violin,D00598.obj,6831,43521,"Triangles",-8.06654,-13432.7,-0.526695,52653.5,-1.72402,5949.69
Violin,D00602.obj,3627,22923,"Triangles",9.93669,20.732,1.79292,10.078,20.9391,2.54049
Violin,D00620.obj,771,4653,"Triangles",-0.341624,-0.446695,0.01905,-0.024124,0.375744,0.08255
Violin,D00675.obj,4149,25794,"Triangles",0.150585,0.419612,0.000899,0.339725,0.592532,0.577988
Violin,D00701.obj,2198,13341,"Triangles",4.58115,0.039219,-0.082304,5.56362,2.81674,0.119063
Violin,D00704.obj,799,4173,"Triangles",0.323036,0.018012,1.31196,1.01076,0.313791,1.53282
Violin,D00743.obj,466,3018,"Triangles",-14.6182,-6.01869,6.5024,0.991073,54.5738,13.57
Violin,D00891.obj,1959,12369,"Triangles",36.637,11.9892,0,62.4366,86.5645,7.19455
Violin,D00898.obj,7672,41214,"Triangles",-1.18662,-0.145814,-0.062188,-0.980585,-0.030921,0.52223
Violin,D00993.obj,7350,46929,"Triangles",4.52953,0.194657,-3.44774,4.98731,0.520782,-1.94465
