Class,File,Vertices,Faces,FaceType,Minx,Miny,Minz,Maxx,Maxy,Maxz
AircraftBuoyant,m1337.obj,8941,17820,"Triangles",-0.352516,-0.352757,-0.302064,0.383581,0.381345,0.5
AircraftBuoyant,m1338.obj,8761,16960,"Triangles",-0.5,-0.407869,-0.405831,0.36077,0.414634,0.421059
AircraftBuoyant,m1339.obj,8507,19431,"Triangles",-0.5,-0.264007,-0.258775,0.349438,0.273148,0.260972
AircraftBuoyant,m1340.obj,9233,18367,"Triangles",-0.136455,-0.112925,-0.113239,0.5,0.116651,0.116338
AircraftBuoyant,m1341.obj,8211,16396,"Triangles",-0.176397,-0.124829,-0.125066,0.5,0.127628,0.12739
AircraftBuoyant,m1342.obj,6712,13225,"Triangles",-0.322156,-0.254524,-0.250103,0.5,0.263149,0.254517
AircraftBuoyant,m1343.obj,5256,10500,"Triangles",-0.338275,-0.28577,-0.300496,0.5,0.318884,0.304134
AircraftBuoyant,m1344.obj,5021,9786,"Triangles",-0.198584,-0.236583,-0.229719,0.5,0.244002,0.250868
AircraftBuoyant,m1345.obj,6095,11842,"Triangles",-0.5,-0.208875,-0.208754,0.195066,0.211186,0.211307
AircraftBuoyant,m1346.obj,5296,10483,"Triangles",-0.459808,-0.179625,-0.152976,0.5,0.156205,0.144465
AircraftBuoyant,m1347.obj,8195,16554,"Triangles",-0.351943,-0.162368,-0.127873,0.5,0.191648,0.128861
AircraftBuoyant,m1348.obj,5959,11710,"Triangles",-0.5,-0.181982,-0.157917,0.483906,0.1597,0.149277
AircraftBuoyant,m1349.obj,10107,19990,"Triangles",-0.5,-0.139385,-0.124834,0.492183,0.217836,0.133847
AircraftBuoyant,m1350.obj,8281,16344,"Triangles",-0.374495,-0.122918,-0.120261,0.5,0.13568,0.124189
AircraftBuoyant,m1351.obj,2597,4233,"Triangles",-0.5,-0.0871607,-0.0958737,0.419686,0.0951596,0.0934788
AircraftBuoyant,m1352.obj,6002,11756,"Triangles",-0.46908,-0.158281,-0.155079,0.5,0.20105,0.158798
Apartment,D00045.obj,2973,3295,"Triangles",-0.443848,-0.5,-0.214829,0.485297,0.440795,0.198142
Apartment,D00086.obj,4098,8183,"Triangles",-0.373124,-0.197588,-0.0928803,0.382645,0.5,0.134597
Apartment,D00138.obj,2165,3951,"Triangles",-0.464645,-0.363737,-0.168873,0.5,0.37385,0.266128
Apartment,D00156.obj,2863,1938,"Triangles",-0.187879,-0.5,-0.299783,0.187615,0.177123,0.134128
Apartment,D00310.obj,8358,3792,"Triangles",-0.15907,-0.378287,-0.5,0.167303,0.0980687,0.0775857
Apartment,D00348.obj,7733,14462,"Triangles",-0.495909,-0.307485,-0.306553,0.5,0.407245,0.310537
Apartment,D00366.obj,5454,10860,"Triangles",-0.46531,-0.356516,-0.319193,0.5,0.38559,0.27416
Apartment,D00478.obj,5617,2518,"Triangles",-0.5,-0.161531,-0.0255948,0.0273656,0.0972748,0.0265792
Apartment,D00496.obj,7737,2579,"Triangles",-0.372853,-0.5,-0.157239,0.357964,0.416586,0.162773
Apartment,D00626.obj,17965,5138,"Triangles",-0.365372,-0.0771105,-0.0218544,0.5,0.105131,0.0178965
Apartment,D00639.obj,7719,13720,"Triangles",-0.29717,-0.250482,-0.197201,0.5,0.245418,0.272393
Apartment,D00651.obj,2838,1937,"Triangles",-0.195253,-0.183017,-0.5,0.207677,0.175449,0.154232
Apartment,D00681.obj,3223,1555,"Triangles",-0.5,-0.279464,-0.180263,0.338989,0.240598,0.2608
Apartment,D00780.obj,8240,13684,"Triangles",-0.232471,-0.199506,-0.11285,0.5,0.202334,0.101081
Apartment,D00792.obj,7566,13636,"Triangles",-0.435721,-0.5,-0.323304,0.467333,0.464301,0.330389
Apartment,D00859.obj,5291,9989,"Triangles",-0.45881,-0.268154,-0.132423,0.5,0.324087,0.139537
Apartment,D00860.obj,5623,2520,"Triangles",-0.5,-0.0967221,-0.0134774,0.0431195,0.0347727,0.0138086
Apartment,D00869.obj,6184,11577,"Triangles",-0.480071,-0.295805,-0.216001,0.5,0.29901,0.324244
Apartment,D00921.obj,2967,859,"Triangles",-0.365371,-0.330641,-0.152455,0.225282,0.5,0.200553
Apartment,D00953.obj,5705,10234,"Triangles",-0.38049,-0.385329,-0.156309,0.440344,0.5,0.22967
Apartment,m463.obj,7136,13900,"Triangles",-0.5,-0.258042,-0.1901,0.154013,0.266734,0.191257
Apartment,m464.obj,8301,12810,"Triangles",-0.5,-0.137045,-0.114494,0.292962,0.133129,0.113163
Apartment,m465.obj,7919,15531,"Triangles",-0.5,-0.102643,-0.108768,0.450827,0.144523,0.0930818
AquaticAnimal,m53.obj,3681,5935,"Triangles",-0.323657,-0.133402,-0.0386333,0.5,0.146434,0.0664683
AquaticAnimal,m54.obj,3628,5309,"Triangles",-0.310943,-0.13775,-0.0935323,0.5,0.157147,0.0597423
AquaticAnimal,m55.obj,3901,6335,"Triangles",-0.325283,-0.143361,-0.0580398,0.5,0.164965,0.0782831
AquaticAnimal,m56.obj,5814,10893,"Triangles",-0.10173,-0.102996,-0.0452903,0.5,0.114526,0.046136
AquaticAnimal,m57.obj,3775,6604,"Triangles",-0.127427,-0.104958,-0.0372304,0.5,0.133904,0.0409555
AquaticAnimal,m58.obj,6021,12038,"Triangles",-0.5,-0.263981,-0.248125,0.412809,0.18192,0.233589
AquaticAnimal,m59.obj,5144,11880,"Triangles",-0.463811,-0.0871149,-0.082549,0.5,0.115181,0.119741
AquaticAnimal,m60.obj,9761,19518,"Triangles",-0.337697,-0.153139,-0.141503,0.5,0.183967,0.143599
AquaticAnimal,m61.obj,7906,15717,"Triangles",-0.5,-0.157831,-0.0746506,0.348773,0.212934,0.0738694
AquaticAnimal,m62.obj,7843,15682,"Triangles",-0.5,-0.278438,-0.0465904,0.351164,0.32348,0.0465807
AquaticAnimal,m63.obj,6311,12190,"Triangles",-0.301524,-0.185061,-0.310752,0.5,0.348583,0.294808
AquaticAnimal,m64.obj,9163,18276,"Triangles",-0.5,-0.242082,-0.0713934,0.405955,0.25399,0.0756294
AquaticAnimal,m65.obj,6546,13014,"Triangles",-0.2641,-0.207469,-0.14899,0.5,0.251144,0.149632
AquaticAnimal,m66.obj,5938,11838,"Triangles",-0.5,-0.203356,-0.20551,0.377827,0.204285,0.167395
AquaticAnimal,m67.obj,2800,5596,"Triangles",-0.49881,-0.172462,-0.112027,0.5,0.210634,0.124485
AquaticAnimal,m68.obj,6853,13698,"Triangles",-0.450571,-0.119109,-0.0794854,0.5,0.134971,0.0830637
AquaticAnimal,m69.obj,8105,16136,"Triangles",-0.5,-0.142316,-0.0813009,0.318233,0.141887,0.138821
AquaticAnimal,m70.obj,7208,14336,"Triangles",-0.5,-0.208307,-0.163757,0.421907,0.208378,0.0701227
AquaticAnimal,m71.obj,5510,11016,"Triangles",-0.5,-0.226801,-0.156366,0.462683,0.13502,0.148263
AquaticAnimal,m72.obj,8921,17770,"Triangles",-0.413547,-0.20551,-0.153984,0.5,0.209027,0.0735272
AquaticAnimal,m73.obj,7237,14468,"Triangles",-0.466733,-0.22098,-0.177947,0.5,0.342822,0.177727
AquaticAnimal,m74.obj,5412,10836,"Triangles",-0.5,-0.150627,-0.113223,0.358396,0.147172,0.179833
AquaticAnimal,m75.obj,5781,11478,"Triangles",-0.5,-0.232147,-0.157394,0.369856,0.231968,0.0957138
AquaticAnimal,m76.obj,5083,10164,"Triangles",-0.5,-0.140217,-0.172049,0.385372,0.159653,0.172346
AquaticAnimal,m77.obj,2315,4494,"Triangles",-0.5,-0.23183,-0.218737,0.470381,0.208509,0.211362
AquaticAnimal,m78.obj,5221,10240,"Triangles",-0.5,-0.242536,-0.199922,0.396556,0.163995,0.156885
AquaticAnimal,m79.obj,5367,10628,"Triangles",-0.5,-0.141813,-0.125094,0.400915,0.103449,0.0778008
AquaticAnimal,m80.obj,7153,14202,"Triangles",-0.5,-0.157567,-0.179124,0.408271,0.208008,0.0973622
AquaticAnimal,m81.obj,9775,19509,"Triangles",-0.5,-0.173544,-0.15875,0.361462,0.177209,0.0882353
Bed,D00031.obj,7028,13912,"Triangles",-0.5,-0.366764,-0.177208,0.366958,0.386172,0.143721
Bed,D00110.obj,8127,16046,"Triangles",-0.5,-0.344928,-0.207642,0.485735,0.355198,0.136058
Bed,D00121.obj,3505,2461,"Triangles",-0.5,-0.364051,-0.253983,0.402518,0.378967,0.259387
Bed,D00184.obj,7218,14204,"Triangles",-0.423108,-0.380858,-0.17532,0.5,0.393063,0.306596
Bed,D00210.obj,4816,3424,"Triangles",-0.5,-0.444465,-0.253948,0.485368,0.428434,0.353943
Bed,D00213.obj,5053,10088,"Triangles",-0.489596,-0.232527,-0.168455,0.5,0.245104,0.177922
Bed,D00217.obj,5778,11352,"Triangles",-0.487139,-0.241781,-0.208226,0.5,0.244222,0.117758
Bed,D00307.obj,5748,11467,"Triangles",-0.5,-0.441824,-0.136545,0.49997,0.461606,0.229647
Bed,D00322.obj,9342,14796,"Triangles",-0.483949,-0.205498,-0.210693,0.5,0.215824,0.264543
Bed,D00417.obj,2561,4390,"Triangles",-0.5,-0.348278,-0.199152,0.473079,0.37495,0.162989
Bed,D00538.obj,7136,13868,"Triangles",-0.5,-0.216228,-0.0847132,0.315845,0.32727,0.231302
Bed,D00545.obj,5411,10830,"Triangles",-0.5,-0.312885,-0.267553,0.47798,0.320077,0.202977
Bed,D00552.obj,6349,12251,"Triangles",-0.308497,-0.5,-0.20009,0.403619,0.300375,0.199707
Bed,D00565.obj,6622,13220,"Triangles",-0.5,-0.342317,-0.157256,0.457554,0.348764,0.144582
Bed,D00650.obj,6119,12177,"Triangles",-0.5,-0.265411,-0.187586,0.497572,0.256496,0.211414
Bed,D00735.obj,10161,20100,"Triangles",-0.5,-0.331719,-0.23216,0.474936,0.332034,0.179005
Bed,D00836.obj,6742,13512,"Triangles",-0.5,-0.181419,-0.246088,0.477574,0.184444,0.185003
Bed,D00839.obj,3272,6470,"Triangles",-0.5,-0.356345,-0.172144,0.467315,0.414885,0.221441
Bed,D00969.obj,2630,3061,"Triangles",-0.368968,-0.356346,-0.253917,0.5,0.376831,0.228937
Bed,D00988.obj,10390,19868,"Triangles",-0.5,-0.325113,-0.13648,0.489921,0.328433,0.25981
Bed,m945.obj,8116,15659,"Triangles",-0.5,-0.209234,-0.268013,0.340657,0.378425,0.327896
Bed,m946.obj,5845,11436,"Triangles",-0.487189,-0.242922,-0.256035,0.5,0.244901,0.232884
Bed,m947.obj,7088,13878,"Triangles",-0.5,-0.360216,-0.147306,0.499257,0.368912,0.293093
Bed,m948.obj,5583,11010,"Triangles",-0.443738,-0.39017,-0.5,0.304485,0.404482,0.205321
Bed,m949.obj,7612,15200,"Triangles",-0.353452,-0.5,-0.174678,0.355315,0.230247,0.185084
Bed,m950.obj,5977,11804,"Triangles",-0.388805,-0.296753,-0.5,0.390033,0.307415,0.224309
Bed,m951.obj,8835,17516,"Triangles",-0.5,-0.372889,-0.252488,0.463463,0.381422,0.240768
Bicycle,D00016.obj,7146,13803,"Triangles",-0.492819,-0.237196,-0.093412,0.5,0.414044,0.110767
Bicycle,D00033.obj,5219,10502,"Triangles",-0.489648,-0.225849,-0.14798,0.5,0.363978,0.153768
Bicycle,D00040.obj,5085,9444,"Triangles",-0.5,-0.2541,-0.131125,0.432711,0.330565,0.171297
Bicycle,D00077.obj,3283,6151,"Triangles",-0.172306,-0.274353,-0.0271219,0.266327,0.5,0.0150073
Bicycle,D00078.obj,4534,8318,"Triangles",-0.484417,-0.322023,-0.201759,0.5,0.337389,0.169189
